=== DOM Traversal Log ===
Timestamp    : 2026-04-23 14:00:17
Algorithm    : BFS
CSS Selector : h1
Source       : URL: https://if-notes.naufarrel.dev
Max Depth    : 12

--- Traversal Steps ---
Step   | NodeID  | Tag                  | Depth | Action
92     | 47      | div                  | 7     | VISIT
93     | 62      | button               | 7     | VISIT
94     | 72      | button               | 7     | VISIT
95     | 80      | svg                  | 7     | VISIT
96     | 85      | h2                   | 7     | VISIT
97     | 87      | svg                  | 7     | VISIT
98     | 90      | ul                   | 7     | VISIT
99     | 93      | li                   | 7     | VISIT
100    | 96      | li                   | 7     | VISIT
101    | 108     | h1                   | 7     | MATCH ← CSS selector matched
102    | 110     | p                    | 7     | VISIT
103    | 117     | #text                | 7     | VISIT
104    | 118     | a                    | 7     | VISIT
105    | 123     | h2                   | 7     | VISIT
106    | 139     | h2                   | 7     | VISIT
107    | 150     | #text                | 7     | VISIT
108    | 152     | li                   | 7     | VISIT
109    | 181     | li                   | 7     | VISIT
110    | 221     | li                   | 7     | VISIT
111    | 260     | li                   | 7     | VISIT
112    | 295     | #text                | 7     | VISIT
113    | 297     | div                  | 7     | VISIT
114    | 298     | button               | 7     | VISIT
115    | 302     | div                  | 7     | VISIT
116    | 305     | h3                   | 7     | VISIT
117    | 307     | svg                  | 7     | VISIT
118    | 310     | li                   | 7     | VISIT
119    | 313     | li                   | 7     | VISIT
120    | 316     | li                   | 7     | VISIT
121    | 319     | li                   | 7     | VISIT
122    | 322     | li                   | 7     | VISIT
123    | 325     | li                   | 7     | VISIT
124    | 328     | li                   | 7     | VISIT
125    | 331     | li                   | 7     | VISIT
126    | 334     | #text                | 7     | VISIT
127    | 336     | li                   | 7     | VISIT
128    | 339     | li                   | 7     | VISIT
129    | 342     | li                   | 7     | VISIT
130    | 345     | li                   | 7     | VISIT
131    | 348     | li                   | 7     | VISIT
132    | 351     | li                   | 7     | VISIT
133    | 354     | li                   | 7     | VISIT
134    | 357     | li                   | 7     | VISIT
135    | 360     | li                   | 7     | VISIT
136    | 363     | li                   | 7     | VISIT
137    | 366     | li                   | 7     | VISIT
138    | 369     | li                   | 7     | VISIT
139    | 372     | li                   | 7     | VISIT
140    | 375     | li                   | 7     | VISIT
141    | 378     | li                   | 7     | VISIT
142    | 381     | li                   | 7     | VISIT
143    | 384     | li                   | 7     | VISIT
144    | 387     | li                   | 7     | VISIT
145    | 390     | li                   | 7     | VISIT
146    | 393     | li                   | 7     | VISIT
147    | 396     | li                   | 7     | VISIT
148    | 399     | li                   | 7     | VISIT
149    | 402     | li                   | 7     | VISIT
150    | 405     | li                   | 7     | VISIT
151    | 408     | li                   | 7     | VISIT
152    | 411     | li                   | 7     | VISIT
153    | 414     | li                   | 7     | VISIT
154    | 417     | li                   | 7     | VISIT
155    | 420     | li                   | 7     | VISIT
156    | 423     | li                   | 7     | VISIT
157    | 428     | #text                | 7     | VISIT
158    | 432     | a                    | 7     | VISIT
159    | 435     | a                    | 7     | VISIT
160    | 48      | button               | 8     | VISIT
161    | 57      | div                  | 8     | VISIT
162    | 63      | svg                  | 8     | VISIT
163    | 67      | svg                  | 8     | VISIT
164    | 73      | svg                  | 8     | VISIT
165    | 81      | line                 | 8     | VISIT
166    | 82      | line                 | 8     | VISIT
167    | 83      | line                 | 8     | VISIT
168    | 86      | #text                | 8     | VISIT
169    | 88      | polyline             | 8     | VISIT
170    | 91      | li                   | 8     | VISIT
171    | 94      | a                    | 8     | VISIT
172    | 97      | div                  | 8     | VISIT
173    | 103     | div                  | 8     | VISIT
174    | 109     | #text                | 8     | VISIT
175    | 111     | time                 | 8     | VISIT
176    | 113     | span                 | 8     | VISIT
177    | 119     | svg                  | 8     | VISIT
178    | 124     | a                    | 8     | VISIT
179    | 128     | #text                | 8     | VISIT
180    | 129     | a                    | 8     | VISIT
181    | 133     | #text                | 8     | VISIT
182    | 134     | a                    | 8     | VISIT
183    | 140     | #text                | 8     | VISIT
184    | 141     | a                    | 8     | VISIT
185    | 145     | a                    | 8     | VISIT
186    | 153     | h2                   | 8     | VISIT
187    | 159     | ul                   | 8     | VISIT
188    | 182     | h2                   | 8     | VISIT
189    | 188     | #text                | 8     | VISIT
190    | 189     | ul                   | 8     | VISIT
191    | 222     | h2                   | 8     | VISIT
192    | 228     | #text                | 8     | VISIT
193    | 229     | ul                   | 8     | VISIT
194    | 261     | h2                   | 8     | VISIT
195    | 267     | #text                | 8     | VISIT
196    | 268     | ul                   | 8     | VISIT
197    | 299     | svg                  | 8     | VISIT
198    | 306     | #text                | 8     | VISIT
199    | 308     | polyline             | 8     | VISIT
200    | 311     | a                    | 8     | VISIT
201    | 314     | a                    | 8     | VISIT
202    | 317     | a                    | 8     | VISIT
203    | 320     | a                    | 8     | VISIT
204    | 323     | a                    | 8     | VISIT
205    | 326     | a                    | 8     | VISIT
206    | 329     | a                    | 8     | VISIT
207    | 337     | a                    | 8     | VISIT
208    | 340     | a                    | 8     | VISIT
209    | 343     | a                    | 8     | VISIT
210    | 346     | a                    | 8     | VISIT
211    | 349     | a                    | 8     | VISIT
212    | 352     | a                    | 8     | VISIT
213    | 355     | a                    | 8     | VISIT
214    | 358     | a                    | 8     | VISIT
215    | 361     | a                    | 8     | VISIT
216    | 364     | a                    | 8     | VISIT
217    | 367     | a                    | 8     | VISIT
218    | 370     | a                    | 8     | VISIT
219    | 373     | a                    | 8     | VISIT
220    | 376     | a                    | 8     | VISIT
221    | 379     | a                    | 8     | VISIT
222    | 382     | a                    | 8     | VISIT
223    | 385     | a                    | 8     | VISIT
224    | 388     | a                    | 8     | VISIT
225    | 391     | a                    | 8     | VISIT
226    | 394     | a                    | 8     | VISIT
227    | 397     | a                    | 8     | VISIT
228    | 400     | a                    | 8     | VISIT
229    | 403     | a                    | 8     | VISIT
230    | 406     | a                    | 8     | VISIT
231    | 409     | a                    | 8     | VISIT
232    | 412     | a                    | 8     | VISIT
233    | 415     | a                    | 8     | VISIT
234    | 418     | a                    | 8     | VISIT
235    | 421     | a                    | 8     | VISIT
236    | 433     | #text                | 8     | VISIT
237    | 436     | #text                | 8     | VISIT
238    | 49      | p                    | 9     | VISIT
239    | 51      | svg                  | 9     | VISIT
240    | 58      | div                  | 9     | VISIT
241    | 64      | title                | 9     | VISIT
242    | 66      | path                 | 9     | VISIT
243    | 68      | title                | 9     | VISIT
244    | 70      | path                 | 9     | VISIT
245    | 74      | title                | 9     | VISIT
246    | 76      | g                    | 9     | VISIT
247    | 98      | svg                  | 9     | VISIT
248    | 100     | div                  | 9     | VISIT
249    | 104     | ul                   | 9     | VISIT
250    | 112     | #text                | 9     | VISIT
251    | 114     | #text                | 9     | VISIT
252    | 120     | path                 | 9     | VISIT
253    | 121     | path                 | 9     | VISIT
254    | 125     | #text                | 9     | VISIT
255    | 126     | svg                  | 9     | VISIT
256    | 130     | #text                | 9     | VISIT
257    | 131     | svg                  | 9     | VISIT
258    | 135     | svg                  | 9     | VISIT
259    | 142     | #text                | 9     | VISIT
260    | 143     | svg                  | 9     | VISIT
261    | 146     | svg                  | 9     | VISIT
262    | 154     | #text                | 9     | VISIT
263    | 155     | a                    | 9     | VISIT
264    | 160     | li                   | 9     | VISIT
265    | 163     | li                   | 9     | VISIT
266    | 165     | li                   | 9     | VISIT
267    | 168     | li                   | 9     | VISIT
268    | 171     | li                   | 9     | VISIT
269    | 174     | li                   | 9     | VISIT
270    | 177     | li                   | 9     | VISIT
271    | 179     | li                   | 9     | VISIT
272    | 183     | #text                | 9     | VISIT
273    | 184     | a                    | 9     | VISIT
274    | 190     | li                   | 9     | VISIT
275    | 193     | li                   | 9     | VISIT
276    | 196     | li                   | 9     | VISIT
277    | 199     | li                   | 9     | VISIT
278    | 202     | li                   | 9     | VISIT
279    | 205     | li                   | 9     | VISIT
280    | 208     | li                   | 9     | VISIT
281    | 213     | li                   | 9     | VISIT
282    | 217     | li                   | 9     | VISIT
283    | 223     | #text                | 9     | VISIT
284    | 224     | a                    | 9     | VISIT
285    | 230     | li                   | 9     | VISIT
286    | 233     | li                   | 9     | VISIT
287    | 236     | li                   | 9     | VISIT
288    | 239     | li                   | 9     | VISIT
289    | 242     | li                   | 9     | VISIT
290    | 245     | li                   | 9     | VISIT
291    | 249     | li                   | 9     | VISIT
292    | 253     | li                   | 9     | VISIT
293    | 256     | li                   | 9     | VISIT
294    | 262     | #text                | 9     | VISIT
295    | 263     | a                    | 9     | VISIT
296    | 269     | li                   | 9     | VISIT
297    | 272     | li                   | 9     | VISIT
298    | 275     | li                   | 9     | VISIT
299    | 278     | li                   | 9     | VISIT
300    | 281     | li                   | 9     | VISIT
301    | 284     | li                   | 9     | VISIT
302    | 287     | li                   | 9     | VISIT
303    | 300     | path                 | 9     | VISIT
304    | 312     | #text                | 9     | VISIT
305    | 315     | #text                | 9     | VISIT
306    | 318     | #text                | 9     | VISIT
307    | 321     | #text                | 9     | VISIT
308    | 324     | #text                | 9     | VISIT
309    | 327     | #text                | 9     | VISIT
310    | 330     | #text                | 9     | VISIT
311    | 338     | #text                | 9     | VISIT
312    | 341     | #text                | 9     | VISIT
313    | 344     | #text                | 9     | VISIT
314    | 347     | #text                | 9     | VISIT
315    | 350     | #text                | 9     | VISIT
316    | 353     | #text                | 9     | VISIT
317    | 356     | #text                | 9     | VISIT
318    | 359     | #text                | 9     | VISIT
319    | 362     | #text                | 9     | VISIT
320    | 365     | #text                | 9     | VISIT
321    | 368     | #text                | 9     | VISIT
322    | 371     | #text                | 9     | VISIT
323    | 374     | #text                | 9     | VISIT
324    | 377     | #text                | 9     | VISIT
325    | 380     | #text                | 9     | VISIT
326    | 383     | #text                | 9     | VISIT
327    | 386     | #text                | 9     | VISIT
328    | 389     | #text                | 9     | VISIT
329    | 392     | #text                | 9     | VISIT
330    | 395     | #text                | 9     | VISIT
331    | 398     | #text                | 9     | VISIT
332    | 401     | #text                | 9     | VISIT
333    | 404     | #text                | 9     | VISIT
334    | 407     | #text                | 9     | VISIT
335    | 410     | #text                | 9     | VISIT
336    | 413     | #text                | 9     | VISIT
337    | 416     | #text                | 9     | VISIT
338    | 419     | #text                | 9     | VISIT
339    | 422     | #text                | 9     | VISIT
340    | 50      | #text                | 10    | VISIT
341    | 52      | title                | 10    | VISIT
342    | 54      | g                    | 10    | VISIT
343    | 59      | input                | 10    | VISIT
344    | 60      | div                  | 10    | VISIT
345    | 65      | #text                | 10    | VISIT
346    | 69      | #text                | 10    | VISIT
347    | 75      | #text                | 10    | VISIT
348    | 77      | path                 | 10    | VISIT
349    | 99      | polyline             | 10    | VISIT
350    | 101     | button               | 10    | VISIT
351    | 127     | path                 | 10    | VISIT
352    | 132     | path                 | 10    | VISIT
353    | 136     | path                 | 10    | VISIT
354    | 137     | path                 | 10    | VISIT
355    | 144     | path                 | 10    | VISIT
356    | 147     | path                 | 10    | VISIT
357    | 148     | path                 | 10    | VISIT
358    | 156     | svg                  | 10    | VISIT
359    | 161     | a                    | 10    | VISIT
360    | 164     | #text                | 10    | VISIT
361    | 166     | a                    | 10    | VISIT
362    | 169     | a                    | 10    | VISIT
363    | 172     | a                    | 10    | VISIT
364    | 175     | a                    | 10    | VISIT
365    | 178     | #text                | 10    | VISIT
366    | 180     | #text                | 10    | VISIT
367    | 185     | svg                  | 10    | VISIT
368    | 191     | a                    | 10    | VISIT
369    | 194     | a                    | 10    | VISIT
370    | 197     | a                    | 10    | VISIT
371    | 200     | a                    | 10    | VISIT
372    | 203     | a                    | 10    | VISIT
373    | 206     | a                    | 10    | VISIT
374    | 209     | a                    | 10    | VISIT
375    | 214     | a                    | 10    | VISIT
376    | 216     | #text                | 10    | VISIT
377    | 218     | a                    | 10    | VISIT
378    | 220     | #text                | 10    | VISIT
379    | 225     | svg                  | 10    | VISIT
380    | 231     | a                    | 10    | VISIT
381    | 234     | a                    | 10    | VISIT
382    | 237     | a                    | 10    | VISIT
383    | 240     | a                    | 10    | VISIT
384    | 243     | a                    | 10    | VISIT
385    | 246     | a                    | 10    | VISIT
386    | 248     | #text                | 10    | VISIT
387    | 250     | a                    | 10    | VISIT
388    | 252     | #text                | 10    | VISIT
389    | 254     | a                    | 10    | VISIT
390    | 257     | a                    | 10    | VISIT
391    | 259     | #text                | 10    | VISIT
392    | 264     | svg                  | 10    | VISIT
393    | 270     | a                    | 10    | VISIT
394    | 273     | a                    | 10    | VISIT
395    | 276     | a                    | 10    | VISIT
396    | 279     | a                    | 10    | VISIT
397    | 282     | a                    | 10    | VISIT
398    | 285     | a                    | 10    | VISIT
399    | 288     | a                    | 10    | VISIT
400    | 53      | #text                | 11    | VISIT
401    | 55      | path                 | 11    | VISIT
402    | 56      | circle               | 11    | VISIT
403    | 102     | span                 | 11    | VISIT
404    | 157     | path                 | 11    | VISIT
405    | 158     | path                 | 11    | VISIT
406    | 162     | #text                | 11    | VISIT
407    | 167     | #text                | 11    | VISIT
408    | 170     | #text                | 11    | VISIT
409    | 173     | #text                | 11    | VISIT
410    | 176     | #text                | 11    | VISIT
411    | 186     | path                 | 11    | VISIT
412    | 187     | path                 | 11    | VISIT
413    | 192     | #text                | 11    | VISIT
414    | 195     | #text                | 11    | VISIT
415    | 198     | #text                | 11    | VISIT
416    | 201     | #text                | 11    | VISIT
417    | 204     | #text                | 11    | VISIT
418    | 207     | #text                | 11    | VISIT
419    | 210     | #text                | 11    | VISIT
420    | 211     | svg                  | 11    | VISIT
421    | 215     | #text                | 11    | VISIT
422    | 219     | #text                | 11    | VISIT
423    | 226     | path                 | 11    | VISIT
424    | 227     | path                 | 11    | VISIT
425    | 232     | #text                | 11    | VISIT
426    | 235     | #text                | 11    | VISIT
427    | 238     | #text                | 11    | VISIT
428    | 241     | #text                | 11    | VISIT
429    | 244     | #text                | 11    | VISIT
430    | 247     | #text                | 11    | VISIT
431    | 251     | #text                | 11    | VISIT
432    | 255     | #text                | 11    | VISIT
433    | 258     | #text                | 11    | VISIT
434    | 265     | path                 | 11    | VISIT
435    | 266     | path                 | 11    | VISIT
436    | 271     | #text                | 11    | VISIT
437    | 274     | #text                | 11    | VISIT
438    | 277     | #text                | 11    | VISIT
439    | 280     | #text                | 11    | VISIT
440    | 283     | #text                | 11    | VISIT
441    | 286     | #text                | 11    | VISIT
442    | 289     | #text                | 11    | VISIT
443    | 212     | path                 | 12    | VISIT

--- Summary ---
Total Nodes Visited  : 443
Total Matches Found  : 2
Search Duration (ms) : 0
